 * Serving Flask app "server" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on https://172.31.100.21:5001/ (Press CTRL+C to quit)
172.23.0.56 - - [25/Nov/2023 21:57:09] "GET /getjobs HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:57:09] "GET /getjobs HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:57:09] "GET /getresult/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:57:10] "GET /getresult/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:57:32] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.23.0.56 - - [25/Nov/2023 21:57:32] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.23.0.56 - - [25/Nov/2023 21:57:32] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:57:33] "GET /getresult/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:57:33] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:57:33] "GET /getjobs HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:57:33] "GET /getjobs HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:57:33] "GET /getresult/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:58:09] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.23.0.56 - - [25/Nov/2023 21:58:09] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:58:09] "GET /getjobs HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:58:10] "GET /getresult/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:58:12] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.23.0.56 - - [25/Nov/2023 21:58:12] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.23.0.56 - - [25/Nov/2023 21:58:12] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:58:12] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:58:12] "GET /getjobs HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:58:12] "GET /getjobs HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:58:13] "GET /getresult/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:58:13] "GET /getresult/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:58:17] "GET /getjobs HTTP/1.1" 200 -
172.23.0.56 - - [25/Nov/2023 21:58:17] "GET /getjobs HTTP/1.1" 200 -
172.23.4.217 - - [25/Nov/2023 22:36:07] "GET /getjob/a819d826425c4a6dadeb90367173a554 HTTP/1.1" 308 -
172.23.4.217 - - [25/Nov/2023 22:36:07] "GET /getjob/a819d826425c4a6dadeb90367173a554 HTTP/1.1" 308 -
172.23.4.217 - - [25/Nov/2023 22:36:08] "GET /getjob/a819d826425c4a6dadeb90367173a554/ HTTP/1.1" 200 -
172.23.4.217 - - [25/Nov/2023 22:36:08] "GET /getjob/a819d826425c4a6dadeb90367173a554/ HTTP/1.1" 200 -
172.23.4.217 - - [25/Nov/2023 22:36:08] "GET /getjobs HTTP/1.1" 200 -
172.23.4.217 - - [25/Nov/2023 22:36:08] "GET /getjobs HTTP/1.1" 200 -
172.23.4.217 - - [25/Nov/2023 22:36:08] "GET /getresult/a819d826425c4a6dadeb90367173a554 HTTP/1.1" 200 -
172.23.4.217 - - [25/Nov/2023 22:36:08] "GET /getresult/a819d826425c4a6dadeb90367173a554 HTTP/1.1" 200 -
172.23.4.217 - - [25/Nov/2023 22:36:12] "GET /getjobs HTTP/1.1" 200 -
172.23.4.217 - - [25/Nov/2023 22:36:12] "GET /getjobs HTTP/1.1" 200 -
172.23.4.217 - - [25/Nov/2023 22:44:22] "OPTIONS /getjobs HTTP/1.1" 200 -
172.23.4.217 - - [25/Nov/2023 22:44:22] "GET /getjobs HTTP/1.1" 200 -
172.23.4.217 - - [25/Nov/2023 22:44:26] "GET /getjobs HTTP/1.1" 200 -
[2023-11-29 16:36:18 +0530] [219209] [INFO] Starting gunicorn 21.2.0
[2023-11-29 16:36:18 +0530] [219209] [INFO] Listening at: http://0.0.0.0:5001 (219209)
[2023-11-29 16:36:18 +0530] [219209] [INFO] Using worker: sync
[2023-11-29 16:36:18 +0530] [219211] [INFO] Booting worker with pid: 219211
[2023-11-29 16:36:18 +0530] [219212] [INFO] Booting worker with pid: 219212
[2023-11-29 16:36:18 +0530] [219276] [INFO] Booting worker with pid: 219276
[2023-11-29 16:36:18 +0530] [219340] [INFO] Booting worker with pid: 219340
[2023-11-29 16:36:58 +0530] [219209] [INFO] Handling signal: hup
[2023-11-29 16:36:58 +0530] [219209] [INFO] Hang up: Master
[2023-11-29 16:36:58 +0530] [219209] [ERROR] Worker (pid:219211) was sent SIGHUP!
[2023-11-29 16:36:58 +0530] [219209] [ERROR] Worker (pid:219340) was sent SIGHUP!
[2023-11-29 16:36:58 +0530] [219661] [INFO] Booting worker with pid: 219661
[2023-11-29 16:36:58 +0530] [219209] [ERROR] Worker (pid:219212) was sent SIGHUP!
[2023-11-29 16:36:58 +0530] [219209] [ERROR] Worker (pid:219276) was sent SIGHUP!
[2023-11-29 16:36:58 +0530] [219663] [INFO] Booting worker with pid: 219663
[2023-11-29 16:36:58 +0530] [219664] [INFO] Booting worker with pid: 219664
[2023-11-29 16:36:58 +0530] [219665] [INFO] Booting worker with pid: 219665
[2023-11-29 17:11:41,648] ERROR in app: Exception on /deletejob/3199eecb54b140ffa1f2c24fd79f1de1/ [POST]
Traceback (most recent call last):
  File "/home/subham/anaconda3/lib/python3.9/site-packages/flask/app.py", line 2447, in wsgi_app
    response = self.full_dispatch_request()
  File "/home/subham/anaconda3/lib/python3.9/site-packages/flask/app.py", line 1952, in full_dispatch_request
    rv = self.handle_user_exception(e)
  File "/home/subham/anaconda3/lib/python3.9/site-packages/flask_cors/extension.py", line 176, in wrapped_function
    return cors_after_request(app.make_response(f(*args, **kwargs)))
  File "/home/subham/anaconda3/lib/python3.9/site-packages/flask/app.py", line 1821, in handle_user_exception
    reraise(exc_type, exc_value, tb)
  File "/home/subham/anaconda3/lib/python3.9/site-packages/flask/_compat.py", line 39, in reraise
    raise value
  File "/home/subham/anaconda3/lib/python3.9/site-packages/flask/app.py", line 1950, in full_dispatch_request
    rv = self.dispatch_request()
  File "/home/subham/anaconda3/lib/python3.9/site-packages/flask/app.py", line 1936, in dispatch_request
    return self.view_functions[rule.endpoint](**req.view_args)
  File "/home/subham/varad/vaibhav_ugp/mist-back/server.py", line 256, in delete_job
    result = subprocess.run(['qstat', res[0]], stdout=subprocess.PIPE, stderr=subprocess.PIPE)
  File "/home/subham/anaconda3/lib/python3.9/subprocess.py", line 505, in run
    with Popen(*popenargs, **kwargs) as process:
  File "/home/subham/anaconda3/lib/python3.9/subprocess.py", line 951, in __init__
    self._execute_child(args, executable, preexec_fn, close_fds,
  File "/home/subham/anaconda3/lib/python3.9/subprocess.py", line 1754, in _execute_child
    self.pid = _posixsubprocess.fork_exec(
TypeError: expected str, bytes or os.PathLike object, not int
[2023-11-30 00:23:25 +0530] [219209] [INFO] Handling signal: term
[2023-11-30 00:23:25 +0530] [219665] [INFO] Worker exiting (pid: 219665)
[2023-11-30 00:23:25 +0530] [219661] [INFO] Worker exiting (pid: 219661)
[2023-11-30 00:23:25 +0530] [219663] [INFO] Worker exiting (pid: 219663)
[2023-11-30 00:23:25 +0530] [219664] [INFO] Worker exiting (pid: 219664)
[2023-11-30 00:23:25 +0530] [219209] [INFO] Shutting down: Master
[2023-11-30 00:24:18 +0530] [84849] [INFO] Starting gunicorn 21.2.0
[2023-11-30 00:24:18 +0530] [84849] [INFO] Listening at: https://0.0.0.0:5001 (84849)
[2023-11-30 00:24:18 +0530] [84849] [INFO] Using worker: sync
[2023-11-30 00:24:18 +0530] [84851] [INFO] Booting worker with pid: 84851
[2023-11-30 00:24:18 +0530] [84852] [INFO] Booting worker with pid: 84852
[2023-11-30 00:24:18 +0530] [84916] [INFO] Booting worker with pid: 84916
[2023-11-30 00:24:18 +0530] [84917] [INFO] Booting worker with pid: 84917
[2023-11-30 00:25:33 +0530] [84917] [WARNING] Invalid request from ip=172.23.69.77: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 00:25:33 +0530] [84917] [WARNING] Invalid request from ip=172.23.69.77: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 00:26:17 +0530] [84917] [WARNING] Invalid request from ip=172.23.69.77: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 00:26:17 +0530] [84917] [WARNING] Invalid request from ip=172.23.69.77: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 00:32:01 +0530] [84849] [INFO] Handling signal: term
[2023-11-30 00:32:01 +0530] [84852] [INFO] Worker exiting (pid: 84852)
[2023-11-30 00:32:01 +0530] [84917] [INFO] Worker exiting (pid: 84917)
[2023-11-30 00:32:01 +0530] [84916] [INFO] Worker exiting (pid: 84916)
[2023-11-30 00:32:01 +0530] [84851] [INFO] Worker exiting (pid: 84851)
[2023-11-30 00:32:02 +0530] [84849] [INFO] Shutting down: Master
[2023-11-30 00:32:35 +0530] [87987] [INFO] Starting gunicorn 21.2.0
Traceback (most recent call last):
  File "/home/subham/anaconda3/bin/gunicorn", line 8, in <module>
    sys.exit(run())
  File "/home/subham/anaconda3/lib/python3.9/site-packages/gunicorn/app/wsgiapp.py", line 67, in run
    WSGIApplication("%(prog)s [OPTIONS] [APP_MODULE]").run()
  File "/home/subham/anaconda3/lib/python3.9/site-packages/gunicorn/app/base.py", line 236, in run
    super().run()
  File "/home/subham/anaconda3/lib/python3.9/site-packages/gunicorn/app/base.py", line 72, in run
    Arbiter(self).run()
  File "/home/subham/anaconda3/lib/python3.9/site-packages/gunicorn/arbiter.py", line 198, in run
    self.start()
  File "/home/subham/anaconda3/lib/python3.9/site-packages/gunicorn/arbiter.py", line 155, in start
    self.LISTENERS = sock.create_sockets(self.cfg, self.log, fds)
  File "/home/subham/anaconda3/lib/python3.9/site-packages/gunicorn/sock.py", line 166, in create_sockets
    raise ValueError('keyfile "%s" does not exist' % conf.keyfile)
ValueError: keyfile "servery-key.pem" does not exist
[2023-11-30 00:33:06 +0530] [88132] [INFO] Starting gunicorn 21.2.0
[2023-11-30 00:33:06 +0530] [88132] [INFO] Listening at: https://0.0.0.0:5001 (88132)
[2023-11-30 00:33:06 +0530] [88132] [INFO] Using worker: sync
[2023-11-30 00:33:06 +0530] [88134] [INFO] Booting worker with pid: 88134
[2023-11-30 00:33:06 +0530] [88135] [INFO] Booting worker with pid: 88135
[2023-11-30 00:33:06 +0530] [88136] [INFO] Booting worker with pid: 88136
[2023-11-30 00:33:07 +0530] [88264] [INFO] Booting worker with pid: 88264
[2023-11-30 00:33:25 +0530] [88264] [WARNING] Invalid request from ip=172.23.69.77: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 00:33:25 +0530] [88264] [WARNING] Invalid request from ip=172.23.69.77: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 00:33:32 +0530] [88264] [WARNING] Invalid request from ip=172.23.69.77: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 00:34:13 +0530] [88132] [INFO] Handling signal: term
[2023-11-30 00:34:13 +0530] [88264] [INFO] Worker exiting (pid: 88264)
[2023-11-30 00:34:13 +0530] [88135] [INFO] Worker exiting (pid: 88135)
[2023-11-30 00:34:13 +0530] [88134] [INFO] Worker exiting (pid: 88134)
[2023-11-30 00:34:13 +0530] [88136] [INFO] Worker exiting (pid: 88136)
[2023-11-30 00:34:13 +0530] [88132] [INFO] Shutting down: Master
[2023-11-30 01:18:50 +0530] [99899] [INFO] Starting gunicorn 21.2.0
[2023-11-30 01:18:50 +0530] [99899] [INFO] Listening at: https://0.0.0.0:5001 (99899)
[2023-11-30 01:18:50 +0530] [99899] [INFO] Using worker: sync
[2023-11-30 01:18:50 +0530] [99901] [INFO] Booting worker with pid: 99901
[2023-11-30 01:18:50 +0530] [99902] [INFO] Booting worker with pid: 99902
[2023-11-30 01:18:50 +0530] [99966] [INFO] Booting worker with pid: 99966
[2023-11-30 01:18:51 +0530] [99967] [INFO] Booting worker with pid: 99967
[2023-11-30 01:18:54 +0530] [99967] [WARNING] Invalid request from ip=172.23.64.121: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 01:18:54 +0530] [99967] [WARNING] Invalid request from ip=172.23.64.121: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 01:19:00 +0530] [99967] [WARNING] Invalid request from ip=172.23.64.121: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 01:19:00 +0530] [99902] [WARNING] Invalid request from ip=172.23.64.121: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 01:19:00 +0530] [99902] [WARNING] Invalid request from ip=172.23.64.121: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 01:19:00 +0530] [99901] [WARNING] Invalid request from ip=172.23.64.121: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 01:19:00 +0530] [99902] [WARNING] Invalid request from ip=172.23.64.121: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 01:19:00 +0530] [99901] [WARNING] Invalid request from ip=172.23.64.121: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 01:19:00 +0530] [99966] [WARNING] Invalid request from ip=172.23.64.121: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 01:19:01 +0530] [99902] [WARNING] Invalid request from ip=172.23.64.121: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 01:19:03 +0530] [99967] [WARNING] Invalid request from ip=172.23.64.121: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 01:19:04 +0530] [99967] [WARNING] Invalid request from ip=172.23.64.121: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 01:19:15 +0530] [99967] [WARNING] Invalid request from ip=172.23.64.121: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 01:19:15 +0530] [99901] [WARNING] Invalid request from ip=172.23.64.121: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 01:20:50 +0530] [99967] [WARNING] Invalid request from ip=172.23.64.121: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
[2023-11-30 01:20:50 +0530] [99901] [WARNING] Invalid request from ip=172.23.64.121: [SSL: SSLV3_ALERT_CERTIFICATE_UNKNOWN] sslv3 alert certificate unknown (_ssl.c:2633)
