 * Serving Flask app "server" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on https://172.31.100.21:5001/ (Press CTRL+C to quit)
172.17.135.218 - - [25/Nov/2023 12:01:52] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:52] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:03:57] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:03:57] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:00] "OPTIONS /getjob/a819d826425c4a6dadeb90367173a554 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:04:00] "GET /getjob/a819d826425c4a6dadeb90367173a554 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:04:00] "OPTIONS /getjob/a819d826425c4a6dadeb90367173a554/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:00] "GET /getjob/a819d826425c4a6dadeb90367173a554/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:00] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:02] "OPTIONS /getjob/a819d826425c4a6dadeb90367173a554 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:04:02] "GET /getjob/a819d826425c4a6dadeb90367173a554 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:04:02] "GET /getjob/a819d826425c4a6dadeb90367173a554/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:02] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:05] "OPTIONS /getjob/a819d826425c4a6dadeb90367173a554 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:04:05] "GET /getjob/a819d826425c4a6dadeb90367173a554 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:04:05] "OPTIONS /getjob/a819d826425c4a6dadeb90367173a554/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:05] "GET /getjob/a819d826425c4a6dadeb90367173a554/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:05] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:05] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:06] "OPTIONS /getjob/a819d826425c4a6dadeb90367173a554 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:04:06] "GET /getjob/a819d826425c4a6dadeb90367173a554 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:04:06] "GET /getjob/a819d826425c4a6dadeb90367173a554/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:06] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:07] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:10] "OPTIONS /getjob/3199eecb54b140ffa1f2c24fd79f1de1 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:04:10] "GET /getjob/3199eecb54b140ffa1f2c24fd79f1de1 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:04:10] "OPTIONS /getjob/3199eecb54b140ffa1f2c24fd79f1de1/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:10] "GET /getjob/3199eecb54b140ffa1f2c24fd79f1de1/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:10] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:14] "OPTIONS /getjob/3199eecb54b140ffa1f2c24fd79f1de1 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:04:14] "GET /getjob/3199eecb54b140ffa1f2c24fd79f1de1 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:04:14] "GET /getjob/3199eecb54b140ffa1f2c24fd79f1de1/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:14] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:14] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:27] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:27] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:30] "OPTIONS /getresult/3199eecb54b140ffa1f2c24fd79f1de1 HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:30] "GET /getresult/3199eecb54b140ffa1f2c24fd79f1de1 HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:17] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:17] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:37] "OPTIONS /getjobs HTTP/1.1" 200 -
